Company,Quarter,Sales,Total_Assets,Total_Liabilities,Short_Term_Debt,Long_Term_Debt,EBIT,Interest_Expense,Operating_Cash_Flow,Market_Cap,Retained_Earnings,Current_Assets,Current_Liabilities,RBI_Repo_Rate
Bajaj Finance,2022-06-30,10001.54,223951.6,219796.49,24310.76,56725.11,1500.23,3201.76,-10170.84,344679.78,49251.12,199720.39,3263.69,6.5
Bajaj Finance,2022-09-30,10205.6,239843.11,235887.07,24361.77,56844.13,1530.84,3157.49,-10378.36,380771.56,50688.36,214341.27,3509.96,6.5
Bajaj Finance,2022-12-31,10593.89,258476.23,257411.12,24668.27,57559.29,1589.08,3150.55,-10773.23,352883.71,52676.76,233899.32,3878.42,6.5
Bajaj Finance,2023-03-31,10727.69,279843.1,284537.66,25185.88,58767.05,1609.15,3177.24,-10909.29,355717.22,55161.1,258548.14,4377.1,6.5
Bajaj Finance,2023-06-30,13441.38,296852.99,293391.81,33422.49,77985.81,2016.21,4787.87,-17790.78,426058.37,70003.26,266707.61,4398.86,6.5
Bajaj Finance,2023-09-30,13426.66,323929.79,322383.0,33655.3,78529.04,2014.0,4781.45,-17771.3,422702.44,72396.05,293062.04,4867.19,6.5
Bajaj Finance,2023-12-31,14327.42,354680.54,358795.26,34209.1,79821.22,2149.11,4779.28,-18963.53,386140.25,75523.82,326162.58,5506.06,6.5
Bajaj Finance,2024-03-31,13799.36,370835.18,365992.43,33375.17,77875.39,2069.9,4703.18,-18264.59,411030.04,75572.04,332705.16,5479.59,6.5
Bajaj Finance,2024-06-30,16403.01,400584.43,402843.28,42187.99,98438.64,2460.45,6366.86,-16037.11,469462.9,89830.03,369775.92,7113.65,6.25
Bajaj Finance,2024-09-30,17043.0,428052.62,435291.12,42660.84,99541.96,2556.45,6338.47,-16662.83,445504.42,93291.91,399560.28,7772.79,6.25
Bajaj Finance,2024-12-31,17889.12,437761.99,432068.26,41405.79,96613.51,2683.37,6314.18,-17490.07,446611.86,92930.16,396601.97,7488.26,6.25
Bajaj Finance,2025-03-31,17840.93,463657.17,461200.42,41729.15,97368.01,2676.14,6159.62,-17442.95,415583.74,96057.32,423342.82,8055.58,6.25
Bajaj Finance,2025-06-30,18916.76,498652.59,507889.93,51329.24,119768.23,2837.51,7061.92,-15180.57,503962.36,106816.47,476467.89,10015.2,6.0
Bajaj Finance,2025-09-30,21068.34,509177.67,505344.91,50016.33,116704.78,3160.25,7147.15,-16907.2,500491.35,106897.39,474080.33,9710.13,6.0
Bajaj Finance,2025-12-31,20829.54,539517.86,542556.99,50679.56,118252.31,3124.43,7053.46,-16715.56,477283.05,111165.27,508990.18,10563.39,6.0
Bajaj Finance,2026-03-31,21261.84,552158.02,544472.53,49694.22,115953.19,3189.28,7209.56,-17062.48,464907.97,111798.9,510787.21,10394.58,6.0
Bharti Airtel,2014-06-30,22475.57,165319.25,162397.49,24582.23,57358.54,7858.65,1109.71,6562.28,279214.26,34327.06,26326.14,51510.42,7.75
Bharti Airtel,2014-09-30,22920.03,176186.05,179594.75,25508.65,59520.19,8014.06,1120.17,6692.05,247931.45,36583.45,29113.98,59112.0,7.75
Bharti Airtel,2014-12-31,24685.02,175994.64,174609.74,24827.58,57931.03,8631.19,1094.67,7207.39,242213.16,36543.71,28305.86,55936.77,7.75
Bharti Airtel,2015-03-31,25517.37,182007.57,182076.17,25033.93,58412.51,8922.22,1092.04,7450.41,279290.03,37792.24,29516.24,58813.45,7.75
Bharti Airtel,2015-06-30,22620.61,191079.84,189599.0,29959.8,69906.21,7963.57,2146.35,6547.73,295520.24,59448.86,29140.23,47818.55,6.75
Bharti Airtel,2015-09-30,23688.71,200203.83,197246.5,29747.79,69411.51,8339.59,2130.18,6856.9,307700.49,60623.52,30315.6,49395.27,6.75
Bharti Airtel,2015-12-31,25263.3,212707.62,211582.48,30034.09,70079.53,8893.92,2110.4,7312.68,285794.61,62817.68,32518.96,53495.28,6.75
Bharti Airtel,2016-03-31,25837.63,226890.06,229334.16,30519.05,71211.12,9096.11,2156.46,7478.92,267105.3,65468.73,35247.28,58919.79,6.75
Bharti Airtel,2016-06-30,21847.18,222079.64,217808.54,31567.38,73657.22,8085.02,2384.97,6471.68,312076.64,59384.16,27103.95,52942.85,6.25
Bharti Airtel,2016-09-30,23754.95,228719.59,229042.63,32231.86,75207.67,8791.03,2352.1,7036.81,309760.07,62272.93,28501.92,56845.43,6.25
Bharti Airtel,2016-12-31,24326.76,234744.38,239212.73,32799.07,76531.16,9002.65,2362.04,7206.19,340207.19,65036.39,29767.48,60414.28,6.25
Bharti Airtel,2017-03-31,25751.38,228695.33,225125.27,31683.95,73929.22,9529.86,2385.59,7628.2,327039.46,64436.16,28014.44,54923.4,6.25
Bharti Airtel,2017-06-30,18954.94,232817.65,229074.72,32863.24,76680.88,6899.23,2363.61,6847.62,362811.02,61466.48,33427.4,62014.15,6.0
Bharti Airtel,2017-09-30,19821.44,243208.88,245517.97,33717.31,78673.73,7214.62,2315.15,7160.65,362100.14,64768.35,35826.86,68192.96,6.0
Bharti Airtel,2017-12-31,21531.2,244823.47,244426.33,33346.02,77807.38,7836.94,2321.66,7778.32,380071.24,65740.79,35667.57,67142.17,6.0
Bharti Airtel,2018-03-31,22203.06,252384.54,255280.94,33783.51,78828.18,8081.49,2373.96,8021.03,352759.12,68311.05,37251.51,71043.84,6.0
Bharti Airtel,2018-06-30,18789.13,253138.54,250654.45,37259.15,86938.01,5992.61,2648.87,4668.21,429318.08,63587.03,43768.9,69900.95,6.25
Bharti Airtel,2018-09-30,19243.0,261370.13,260967.39,37570.42,87664.31,6137.37,2698.18,4780.97,416051.36,65851.17,45569.73,73384.95,6.25
Bharti Airtel,2018-12-31,21407.49,269364.3,270836.86,37834.11,88279.58,6827.71,2697.47,5318.75,414535.73,68058.44,47293.12,76694.81,6.25
Bharti Airtel,2019-03-31,20653.41,270191.49,266410.63,37101.86,86571.0,6587.2,2657.46,5131.39,422580.32,68452.53,46520.22,73981.3,6.25
Bharti Airtel,2019-06-30,20148.73,289878.63,284564.26,43653.16,101857.37,8426.47,3523.22,4172.73,425676.56,67573.75,79306.74,104023.12,5.15
Bharti Airtel,2019-09-30,21725.42,311129.61,305793.82,43705.78,101980.15,9085.87,3438.13,4499.25,420373.94,69483.73,85223.32,111918.38,5.15
Bharti Airtel,2019-12-31,23608.38,335841.74,333870.37,44207.37,103150.54,9873.35,3531.23,4889.21,441124.29,72130.67,93048.13,123596.57,5.15
Bharti Airtel,2020-03-31,22771.77,361408.87,363741.7,44755.44,104429.35,9523.46,3536.43,4715.95,433001.49,74897.35,101373.13,136324.13,5.15
Bharti Airtel,2020-06-30,22689.18,357701.51,359995.13,49148.64,114680.16,10210.54,3712.14,10870.36,532285.92,52324.85,91625.94,129050.03,4.0
Bharti Airtel,2020-09-30,24303.41,345875.09,340094.43,48019.31,112045.05,10936.97,3700.46,11643.73,548912.76,52504.22,86560.82,119114.71,4.0
Bharti Airtel,2020-12-31,26087.54,349821.24,351565.64,49079.02,114517.71,11739.86,3813.38,12498.51,501037.52,55075.1,89480.47,125849.74,4.0
Bharti Airtel,2021-03-31,25945.3,346001.5,347593.28,49060.17,114473.73,11675.85,3715.61,12430.36,533124.35,56465.58,88469.43,124379.96,4.0
Bharti Airtel,2021-06-30,27037.26,342227.2,335956.93,49970.75,116598.42,13347.08,4159.04,12763.17,614839.84,57896.5,76100.4,114108.94,4.0
Bharti Airtel,2021-09-30,29065.78,359585.57,366489.19,51880.68,121054.93,14348.47,4119.58,13720.75,581289.92,61733.94,83016.51,129237.06,4.0
Bharti Airtel,2021-12-31,30744.88,361461.69,365969.4,51538.21,120255.81,15177.36,4195.22,14513.38,586286.35,62940.27,82898.77,128201.84,4.0
Bharti Airtel,2022-03-31,29910.91,367392.07,373683.05,51775.04,120808.42,14765.67,4127.13,14119.7,546764.58,64850.77,84646.05,131505.53,4.0
Bharti Airtel,2022-06-30,31757.88,381118.5,380194.75,67641.65,157830.52,16267.29,4811.89,14909.51,652178.12,68954.01,72509.11,120271.79,6.5
Bharti Airtel,2022-09-30,34996.81,396782.39,390775.13,66779.42,155818.65,17926.35,4774.95,16430.1,609594.05,69914.92,74526.95,122043.04,6.5
Bharti Airtel,2022-12-31,37373.52,420090.88,416493.34,67225.33,156859.1,19143.77,4853.14,17545.91,672985.63,72233.92,79431.82,130943.65,6.5
Bharti Airtel,2023-03-31,37317.52,452006.47,459580.77,68942.23,160865.2,19115.09,4891.88,17519.61,615207.83,75978.19,87649.27,148180.35,6.5
Bharti Airtel,2023-06-30,35023.73,449995.33,456151.24,65562.39,152978.9,18189.54,5653.06,18424.23,743704.29,74207.81,93094.2,151063.67,6.5
Bharti Airtel,2023-09-30,37355.08,437568.32,431922.44,63843.07,148967.17,19400.32,5697.37,19650.63,722643.4,74214.8,88149.43,139288.73,6.5
Bharti Airtel,2023-12-31,40515.17,434564.87,426624.04,63495.74,148156.73,21041.51,5761.06,21313.0,678996.6,75753.44,87068.1,136831.58,6.5
Bharti Airtel,2024-03-31,38500.34,447637.69,453327.79,65499.74,152832.74,19995.11,5713.18,20253.1,684586.76,80148.01,92517.97,149985.19,6.5
Bharti Airtel,2024-06-30,39800.52,462028.49,466330.93,64689.43,150942.01,19570.67,5512.62,22624.3,809001.93,103418.25,92064.64,165611.7,6.25
Bharti Airtel,2024-09-30,42611.07,469677.97,465874.49,63573.57,148338.34,20952.67,5440.32,24221.94,811931.4,104381.21,91974.52,162595.68,6.25
Bharti Airtel,2024-12-31,45923.18,491926.52,494608.34,64442.01,150364.69,22581.3,5519.71,26104.68,837144.2,108591.49,97647.26,174982.24,6.25
Bharti Airtel,2025-03-31,44482.42,495094.38,485377.29,62834.67,146614.23,21872.85,5430.14,25285.69,771001.57,108597.91,95824.83,167433.46,6.25
Bharti Airtel,2025-06-30,49183.12,508506.83,500354.0,57683.7,134595.29,27899.02,5494.76,28494.89,885815.18,132893.86,103283.78,185182.64,6.0
Bharti Airtel,2025-09-30,52619.0,529743.67,530910.91,58752.77,137089.8,29848.02,5324.95,30485.51,933562.27,139015.13,109591.38,200133.51,6.0
Bharti Airtel,2025-12-31,55765.81,537239.69,534131.97,58284.48,135997.13,31633.04,5321.5,32308.66,940866.02,141536.25,110256.28,199742.9,6.0
Bharti Airtel,2026-03-31,55560.6,557916.26,563740.7,59235.61,138216.42,31516.63,5282.1,32189.77,833084.84,147534.29,116368.16,214255.54,6.0
Coal India,2014-06-30,16662.27,101875.66,100839.98,121.16,282.7,3898.73,2.25,3233.09,84285.32,31164.15,79009.31,63248.27,7.75
Coal India,2014-09-30,18692.75,107602.01,109534.45,124.6,290.73,4373.83,2.27,3627.08,81310.52,32915.86,85821.53,70653.66,7.75
Coal India,2014-12-31,19318.91,106648.7,104843.18,120.33,280.76,4520.34,2.25,3748.58,79401.19,32624.25,82145.86,65309.79,7.75
Coal India,2015-03-31,19655.46,110869.95,110474.32,121.96,284.58,4599.09,2.26,3813.88,86099.93,33915.54,86557.92,69752.91,7.75
Coal India,2015-06-30,17817.18,111103.77,110372.13,357.33,833.77,4282.38,95.15,3010.07,91601.37,26204.52,81659.44,74855.43,6.75
Coal India,2015-09-30,18616.32,112860.27,113308.83,361.13,842.64,4474.46,98.77,3145.08,100125.79,27198.82,83832.17,77663.97,6.75
Coal India,2015-12-31,20212.09,111797.79,110621.33,355.91,830.47,4858.0,96.59,3414.67,90363.19,27511.49,81843.81,74727.04,6.75
Coal India,2016-03-31,20044.91,114366.48,115178.7,362.25,845.26,4817.82,98.15,3386.43,97317.24,28719.52,85215.6,79191.53,6.75
Coal India,2016-06-30,17950.85,112854.46,110925.71,888.75,2073.74,2858.76,104.23,3780.37,104385.37,16648.2,79235.46,83715.84,6.25
Coal India,2016-09-30,18977.76,118360.22,120691.98,922.01,2151.36,3022.3,103.66,3996.63,103694.2,17738.15,86211.61,94495.91,6.25
Coal India,2016-12-31,20978.85,116038.01,114760.0,894.24,2086.56,3340.99,103.86,4418.06,106440.53,17656.59,81974.33,87145.06,6.25
Coal India,2017-03-31,20406.85,117073.32,115578.96,892.66,2082.87,3249.89,104.46,4297.59,113361.22,18077.27,82559.32,87611.59,6.25
Coal India,2017-06-30,19411.07,119923.07,119539.37,459.92,1073.16,2114.99,108.49,4808.14,122684.08,12881.83,81858.14,98532.76,6.0
Coal India,2017-09-30,21301.57,123817.57,125632.36,468.16,1092.38,2320.97,108.81,5276.41,112627.54,13466.98,86030.49,105410.1,6.0
Coal India,2017-12-31,22634.4,123333.3,122918.01,459.85,1072.97,2466.19,105.95,5606.56,122106.92,13575.86,84171.76,101300.63,6.0
Coal India,2018-03-31,22245.97,127962.99,130504.47,470.56,1097.98,2423.87,107.58,5510.34,114093.15,14248.48,89366.82,110059.58,6.0
Coal India,2018-06-30,23145.91,125488.93,123646.8,653.27,1524.29,5812.16,65.73,3801.48,128295.0,18494.56,81404.38,95577.92,6.25
Coal India,2018-09-30,25056.27,131350.34,133488.95,673.79,1572.19,6291.87,67.0,4115.24,146377.3,19591.27,87884.08,106428.18,6.25
Coal India,2018-12-31,25683.82,132021.11,132914.73,667.49,1557.47,6449.45,65.62,4218.31,135353.07,19918.62,87506.04,104978.43,6.25
Coal India,2019-03-31,26013.32,133519.99,134020.86,665.49,1552.8,6532.19,65.62,4272.43,137346.11,20368.12,88234.27,105534.8,6.25
Coal India,2019-06-30,21649.53,137564.35,137858.59,1934.33,4513.43,4862.81,125.61,1121.46,153698.59,24095.88,94591.46,102615.91,5.15
Coal India,2019-09-30,23130.16,138832.74,136196.02,1893.54,4418.26,5195.38,126.97,1198.16,148459.09,24225.3,93450.7,99240.72,5.15
Coal India,2019-12-31,25645.03,144377.63,142998.32,1911.76,4460.77,5760.26,126.07,1328.43,156730.26,25102.02,98118.09,105199.8,5.15
Coal India,2020-03-31,25322.98,151430.34,152853.94,1948.35,4546.14,5687.92,127.24,1311.75,154666.97,26238.37,104880.5,114602.3,5.15
Coal India,2020-06-30,20691.29,151319.23,149874.63,1748.35,4079.48,4281.4,158.15,2434.43,168024.61,27810.32,95113.27,109361.08,4.0
Coal India,2020-09-30,22187.78,154217.71,152911.08,1750.24,4083.9,4591.05,160.59,2610.5,156785.88,28592.92,97040.25,111697.72,4.0
Coal India,2020-12-31,23626.49,159778.73,161278.14,1781.77,4157.45,4888.75,159.12,2779.77,157262.02,29873.86,102350.15,119931.35,4.0
Coal India,2021-03-31,23752.1,158953.53,156883.38,1742.21,4065.16,4914.74,163.33,2794.55,169455.89,29959.67,99561.15,114073.39,4.0
Coal India,2021-06-30,24615.84,165982.07,166317.56,1056.33,2464.77,5546.44,135.93,9222.83,187829.62,34275.64,102831.11,123321.31,4.0
Coal India,2021-09-30,26914.65,168175.34,166132.31,1041.39,2429.92,6064.41,137.4,10084.13,176091.32,34704.22,102716.57,121442.02,4.0
Coal India,2021-12-31,29425.15,177571.86,180346.65,1070.67,2498.24,6630.08,135.67,11024.74,193612.72,36618.92,111505.04,135539.27,4.0
Coal India,2022-03-31,29336.15,181229.35,183040.63,1064.74,2484.38,6610.03,134.87,10991.4,203255.2,37349.59,113170.68,136801.09,4.0
Coal India,2022-06-30,31935.56,188169.55,186429.34,1287.28,3003.66,10217.38,168.82,8254.39,203238.13,50111.24,111225.55,130332.16,6.5
Coal India,2022-09-30,33357.28,200857.99,201300.95,1302.17,3038.39,10672.24,169.68,8621.86,216540.35,52060.56,120098.1,142355.73,6.5
Coal India,2022-12-31,36131.11,207376.07,203905.21,1277.55,2980.96,11559.7,171.79,9338.81,199450.67,52420.7,121651.83,141471.98,6.5
Coal India,2023-03-31,35576.57,218863.18,216359.34,1284.44,2997.02,11382.28,171.12,9195.48,206129.89,54054.45,129082.08,150921.47,6.5
Coal India,2023-06-30,33096.11,220786.06,216492.76,1918.85,4477.31,10967.34,207.3,4138.79,244874.19,69447.26,123348.78,132159.09,6.5
Coal India,2023-09-30,35826.06,232895.86,236927.31,1990.77,4645.14,11871.98,207.2,4480.18,220796.09,73997.76,134991.56,150054.98,6.5
Coal India,2023-12-31,37210.65,232315.39,231929.92,1953.65,4558.52,12330.81,207.91,4653.32,241629.74,74528.96,132144.25,144150.94,6.5
Coal India,2024-03-31,38371.73,240553.75,244708.02,1990.69,4644.95,12715.56,206.22,4798.52,258174.08,77889.28,139424.69,154976.62,6.5
Coal India,2024-06-30,33410.45,245776.25,249509.62,2785.48,6499.45,10967.71,219.12,6804.71,248538.04,87277.26,140797.09,147426.03,6.25
Coal India,2024-09-30,34558.65,245311.58,242919.22,2717.04,6339.76,11344.63,224.51,7038.57,255885.05,87433.82,137078.15,140005.53,6.25
Coal India,2024-12-31,36817.23,253356.84,253357.43,2743.81,6402.21,12086.06,224.17,7498.57,275352.57,90618.66,142968.39,147459.97,6.25
Coal India,2025-03-31,37045.16,261678.5,264400.02,2772.34,6468.78,12160.88,223.28,7545.0,259825.63,93908.62,149199.67,155487.11,6.25
Coal India,2025-06-30,38524.43,270717.76,275878.3,4302.07,10038.17,9434.83,300.47,9886.18,306988.92,106460.0,162009.69,150072.71,6.0
Coal India,2025-09-30,42333.7,275393.11,278498.34,4269.2,9961.47,10367.74,301.61,10863.72,312761.21,108501.84,163548.31,150340.35,6.0
Coal India,2025-12-31,44713.33,277803.36,276620.54,4203.63,9808.46,10950.52,309.66,11474.39,282274.43,109646.68,162445.57,147032.97,6.0
Coal India,2026-03-31,44660.42,286517.67,287377.92,4234.28,9879.98,10937.56,306.79,11460.81,285927.26,113278.09,168762.85,153864.62,6.0
HCL Technologies,2014-06-30,9308.86,32400.71,32201.04,193.2,450.8,2152.39,22.68,1404.92,126694.97,22010.79,23341.53,9417.82,7.75
HCL Technologies,2014-09-30,9443.71,33974.32,34473.1,197.25,460.26,2183.57,22.33,1425.27,130992.69,23079.79,24988.48,10293.78,7.75
HCL Technologies,2014-12-31,9141.46,34345.55,34327.24,194.3,453.36,2113.69,22.95,1379.65,137093.47,23331.98,24882.74,10096.53,7.75
HCL Technologies,2015-03-31,9395.84,34930.37,34618.55,192.66,449.55,2172.51,22.68,1418.04,131275.74,23729.26,25093.91,10096.7,7.75
HCL Technologies,2016-06-30,12186.23,41147.65,41350.04,175.46,409.4,2661.77,21.99,2304.39,165690.33,30362.81,25998.97,11106.16,6.25
HCL Technologies,2016-09-30,12058.33,42918.85,43289.37,176.11,410.92,2633.83,21.92,2280.2,172894.6,31298.69,27218.32,11670.01,6.25
HCL Technologies,2016-12-31,11663.45,44989.36,45837.67,177.89,415.08,2547.58,22.02,2205.53,153991.42,32447.91,28820.58,12482.23,6.25
HCL Technologies,2017-03-31,12144.86,45299.31,44841.3,172.83,403.28,2652.73,22.24,2296.57,171900.63,32333.74,28194.11,11863.74,6.25
HCL Technologies,2017-06-30,12600.76,46057.94,45798.61,166.16,387.7,2802.27,17.26,2075.17,184450.43,33211.84,25057.58,10482.46,6.0
HCL Technologies,2017-09-30,12387.02,47755.66,48652.34,170.24,397.22,2754.74,17.17,2039.97,174714.07,34946.68,26618.93,11408.96,6.0
HCL Technologies,2017-12-31,12761.14,47951.11,48475.64,168.93,394.17,2837.94,17.13,2101.58,171013.41,35590.41,26522.25,11280.07,6.0
HCL Technologies,2018-03-31,12998.63,47482.33,46981.02,165.34,385.78,2890.75,17.22,2140.69,169344.91,35726.77,25704.51,10699.81,6.0
HCL Technologies,2018-06-30,14807.42,50249.23,49921.61,1250.29,2917.35,3412.52,43.53,2198.31,214268.6,37765.04,28166.2,10869.69,6.25
HCL Technologies,2018-09-30,15044.11,53418.14,53668.45,1264.4,2950.26,3467.06,43.06,2233.45,210291.7,39223.18,30280.19,11817.31,6.25
HCL Technologies,2018-12-31,14804.96,54725.61,53711.37,1235.18,2882.08,3411.95,42.92,2197.95,211256.56,39325.05,30304.41,11553.43,6.25
HCL Technologies,2019-03-31,15255.22,59152.28,59966.62,1275.83,2976.93,3515.72,43.46,2264.79,213512.56,41660.75,33833.67,13323.45,6.25
HCL Technologies,2019-06-30,17759.49,63707.96,62958.35,2367.61,5524.42,4351.17,128.11,3356.85,213827.83,46367.63,28783.16,17703.9,5.15
HCL Technologies,2019-09-30,17424.9,70672.0,70760.12,2398.79,5597.17,4269.19,124.01,3293.61,243910.26,48247.88,32349.95,20159.77,5.15
HCL Technologies,2019-12-31,17180.64,76554.84,76408.47,2391.22,5579.51,4209.35,124.34,3247.44,243810.65,49361.34,34932.25,21700.32,5.15
HCL Technologies,2020-03-31,17474.1,81300.34,79809.53,2351.87,5487.69,4281.25,126.29,3302.91,215156.46,49793.87,36487.14,22293.23,5.15
HCL Technologies,2020-06-30,19394.98,81970.0,80346.8,2018.42,4709.65,5158.34,130.13,5047.7,273800.74,53829.76,38963.72,17637.14,4.0
HCL Technologies,2020-09-30,19002.05,84280.14,84127.56,2055.47,4796.1,5053.84,129.63,4945.44,255979.26,56299.39,40797.18,18806.04,4.0
HCL Technologies,2020-12-31,18832.14,84011.35,82800.42,2029.52,4735.54,5008.65,128.6,4901.22,236139.28,57051.39,40153.59,18275.66,4.0
HCL Technologies,2021-03-31,18627.58,85020.82,84006.87,2034.64,4747.5,4954.24,128.8,4847.98,262427.62,58661.96,40738.65,18588.76,4.0
HCL Technologies,2021-06-30,22016.48,87364.54,87967.71,1916.04,4470.75,5276.95,78.45,4344.12,283409.3,57160.11,46856.23,20583.6,4.0
HCL Technologies,2021-09-30,21885.73,88158.07,88837.33,1917.56,4474.31,5245.61,78.72,4318.32,301454.38,58751.67,47319.43,20803.62,4.0
HCL Technologies,2021-12-31,21983.97,88192.53,88182.57,1902.68,4439.6,5269.16,80.33,4337.71,291375.51,59829.96,46970.67,20490.08,4.0
HCL Technologies,2022-03-31,21886.71,87250.66,85611.7,1867.15,4356.69,5245.85,79.98,4318.52,305702.18,60218.18,45601.29,19521.25,4.0
HCL Technologies,2022-06-30,25652.43,88979.64,87967.68,1421.84,3317.63,5721.33,88.87,4553.45,328443.7,59315.0,50088.28,21497.92,6.5
HCL Technologies,2022-09-30,25202.48,89652.15,88241.36,1415.57,3302.99,5620.98,88.78,4473.58,328390.4,60649.25,50244.11,21469.63,6.5
HCL Technologies,2022-12-31,26124.03,93926.95,95719.73,1465.65,3419.85,5826.51,86.66,4637.16,315530.31,64447.52,54502.25,24113.13,6.5
HCL Technologies,2023-03-31,25928.23,93499.97,93750.61,1442.06,3364.8,5782.84,89.25,4602.4,332521.2,65035.87,53381.05,23236.87,6.5
HCL Technologies,2023-06-30,28102.31,94033.88,93383.29,1714.85,4001.32,6186.89,137.72,5739.45,368356.76,62207.61,53478.03,23404.89,6.5
HCL Technologies,2023-09-30,27985.79,97273.13,98431.9,1747.37,4077.2,6161.24,139.7,5715.66,355039.86,65100.38,56369.23,25138.04,6.5
HCL Technologies,2023-12-31,28002.26,97740.63,97914.56,1729.87,4036.37,6164.86,136.15,5719.02,330368.8,66144.5,56072.96,24755.52,6.5
HCL Technologies,2024-03-31,27189.05,98594.82,98185.35,1719.63,4012.47,5985.83,137.51,5552.93,369956.66,67438.75,56228.03,24676.97,6.5
HCL Technologies,2024-06-30,29068.08,99320.74,98278.05,1863.03,4347.08,6333.37,160.67,5528.04,393637.62,63257.46,57082.73,26572.4,6.25
HCL Technologies,2024-09-30,28784.88,102164.01,102586.76,1890.59,4411.38,6271.66,158.25,5474.18,412599.39,65928.08,59585.35,28147.67,6.25
HCL Technologies,2024-12-31,29473.55,102615.68,102122.25,1873.75,4372.07,6421.71,160.76,5605.15,425142.88,67060.18,59315.55,27770.57,6.25
HCL Technologies,2025-03-31,29297.25,102497.56,100552.74,1847.08,4309.84,6383.3,160.87,5571.62,391580.22,67800.65,58403.94,26954.55,6.25
HCL Technologies,2025-06-30,32302.12,107769.0,108114.6,1569.52,3662.21,6639.92,216.37,4957.85,452419.38,69246.71,66704.68,33471.89,6.0
HCL Technologies,2025-09-30,32746.65,111750.76,113149.81,1584.09,3696.2,6731.3,219.55,5026.08,465704.86,71778.41,69811.31,35355.96,6.0
HCL Technologies,2025-12-31,33425.26,111934.6,110572.48,1545.46,3606.08,6870.79,213.06,5130.24,414544.53,71871.09,68221.14,33708.17,6.0
HCL Technologies,2026-03-31,32823.89,115065.11,113884.46,1548.45,3613.04,6747.18,220.71,5037.94,480746.49,73856.33,70264.57,34784.89,6.0
HDFC Bank,2014-06-30,11778.37,561387.64,561210.6,54621.5,127450.17,1766.75,6938.41,-4947.21,359263.15,57935.75,420070.66,31587.52,7.75
HDFC Bank,2014-09-30,12635.44,576571.85,576401.6,54622.6,127452.73,1895.32,6952.99,-5307.21,363479.13,59502.78,431441.25,32443.19,7.75
HDFC Bank,2014-12-31,13023.24,581877.38,572005.56,53711.76,125327.44,1953.49,6751.09,-5470.09,351527.79,60050.31,428150.78,31658.89,7.75
HDFC Bank,2015-03-31,12755.33,598326.32,589682.35,53849.37,125648.53,1913.3,6727.01,-5357.56,382142.54,61747.86,441382.0,32720.87,7.75
HDFC Bank,2015-06-30,14714.65,656126.79,666540.53,69687.85,162604.99,2207.2,8464.92,-8022.21,416821.41,69346.59,494005.27,34042.89,6.75
HDFC Bank,2015-09-30,15949.25,676227.47,667904.17,67754.73,158094.38,2392.39,8405.86,-8695.3,387816.98,69245.18,495015.93,33166.26,6.75
HDFC Bank,2015-12-31,15786.38,714086.8,704861.09,67712.81,157996.55,2367.96,8442.07,-8606.5,391020.44,71023.45,522406.48,34979.78,6.75
HDFC Bank,2016-03-31,15894.01,753258.56,744410.3,67793.27,158184.3,2384.1,8504.14,-8665.18,409475.3,72931.12,551718.3,36986.37,6.75
HDFC Bank,2016-06-30,17405.43,780099.83,765724.52,78831.03,183939.07,2610.81,9582.93,4105.32,491250.87,82879.0,581423.38,49695.22,6.25
HDFC Bank,2016-09-30,18458.32,839640.14,852187.0,81511.06,190192.47,2768.75,9351.39,4353.66,500361.36,88012.77,647075.33,57186.87,6.25
HDFC Bank,2016-12-31,18192.05,870342.01,881002.0,81294.61,189687.43,2728.81,9425.62,4290.85,487414.22,90089.04,668954.89,58963.54,6.25
HDFC Bank,2017-03-31,18510.15,887720.66,883121.28,79894.86,186421.34,2776.52,9399.93,4365.88,467632.15,90808.06,670564.08,58087.69,6.25
HDFC Bank,2017-06-30,20399.62,943638.23,942224.08,99137.95,231321.88,3059.94,10539.69,4117.33,545837.66,100747.79,735132.87,41591.72,6.0
HDFC Bank,2017-09-30,20729.27,1006279.91,1014867.49,100134.05,233646.12,3109.39,10490.33,4183.87,558248.62,104510.34,791809.99,45248.47,6.0
HDFC Bank,2017-12-31,21763.68,1033969.25,1017722.37,97726.64,228028.82,3264.55,10608.86,4392.65,520630.43,104681.86,794037.4,44284.84,6.0
HDFC Bank,2018-03-31,22004.64,1093003.29,1082914.58,98370.3,229530.69,3300.7,10486.11,4441.28,514739.12,108073.16,844901.03,47431.95,6.0
HDFC Bank,2018-06-30,24256.54,1137310.79,1124183.86,115009.59,268355.71,3638.48,13332.68,-14502.12,571823.44,140008.54,868691.48,50624.73,6.25
HDFC Bank,2018-09-30,25690.46,1202480.94,1206982.66,116788.13,272505.63,3853.57,13638.01,-15359.41,604905.47,146016.2,932672.66,55193.9,6.25
HDFC Bank,2018-12-31,27281.32,1224823.0,1204585.02,114430.03,267003.39,4092.2,13427.41,-16310.53,591545.28,146832.89,930819.94,53972.03,6.25
HDFC Bank,2019-03-31,27220.05,1289271.96,1285747.58,116034.48,270747.11,4083.01,13560.08,-16273.9,553013.52,152709.41,993536.75,58416.31,6.25
HDFC Bank,2019-06-30,28643.4,1372777.98,1380790.46,143105.11,333911.93,4296.51,15449.17,-3954.41,666079.02,163573.44,1036577.67,62755.35,5.15
